"","rec","Part","Task","RT","Acc","Cond"
"402",402,2,"Posner","0.460099999904514",1,"valid"
"403",403,2,"Posner","0.815400000095224",1,"invalid"
"404",404,2,"Posner","0.44340000009538",1,"valid"
"405",405,2,"Posner","0.461800000190578",1,"invalid"
"406",406,2,"Posner","0.458800000190649",1,"neutral"
"407",407,2,"Posner","0.418199999809076",1,"neutral"
"408",408,2,"Posner","0.516700000286164",1,"valid"
"409",409,2,"Posner","0.515299999713761",1,"invalid"
"410",410,2,"Posner","0.479900000095313",1,"valid"
"411",411,2,"Posner","0.477199999809272",1,"neutral"
"412",412,2,"Posner","0.653400000095189",1,"invalid"
"413",413,2,"Posner","0.484800000190717",1,"valid"
"414",414,2,"Posner","0.402199999809227",1,"valid"
"415",415,2,"Posner","0.53449999999998",1,"neutral"
"416",416,2,"Posner","0.538099999904716",1,"valid"
"417",417,2,"Posner","0.403799999713783",1,"valid"
"418",418,2,"Posner","0.488000000000056",1,"neutral"
"419",419,2,"Posner","0.42719999980909",1,"neutral"
"420",420,2,"Posner","0.926499999999805",1,"invalid"
"421",421,2,"Posner","0.539100000381495",1,"valid"
"422",422,2,"Posner","0.815400000095451",1,"invalid"
"423",423,2,"Posner","0.529599999904576",1,"valid"
"424",424,2,"Posner","0.386400000095364",1,"valid"
"425",425,2,"Posner","0.341199999809078",1,"valid"
"426",426,2,"Posner","0.405499999999847",1,"valid"
"427",427,2,"Posner","0.43809999990458",1,"neutral"
"428",428,2,"Posner","0.748699999809105",1,"invalid"
"429",429,2,"Posner","0.462700000286077",1,"invalid"
"430",430,2,"Posner","0.429499999999962",1,"valid"
"431",431,2,"Posner","0.433500000000095",1,"neutral"
"432",432,2,"Posner","0.442399999618374",1,"valid"
"433",433,3,"Stroop","3.5825",1,"0"
"434",434,3,"Stroop","1.9341",1,"0"
"435",435,3,"Stroop","1.6003",1,"0"
"436",436,3,"Stroop","2.6940",1,"1"
"437",437,3,"Stroop","2.0670",1,"0"
"438",438,3,"Stroop","1.4833",0,"0"
"439",439,3,"Stroop","1.5174",0,"0"
"440",440,3,"Stroop","1.6711",1,"0"
"441",441,3,"Stroop","1.7545",1,"0"
"442",442,3,"Stroop","1.4526",1,"1"
"443",443,3,"Stroop","1.2174",1,"1"
"444",444,3,"Stroop","1.8047",1,"1"
"445",445,3,"Stroop","1.7994",1,"0"
"446",446,3,"Stroop","0.9336",1,"0"
"447",447,3,"Stroop","1.7284",1,"0"
"448",448,3,"Stroop","1.7337",1,"0"
"449",449,3,"Stroop","1.1340",1,"0"
"450",450,3,"Stroop","0.8007",1,"1"
"451",451,3,"Stroop","1.1835",0,"0"
"452",452,3,"Stroop","1.1699",1,"0"
"453",453,3,"Stroop","1.3000",1,"0"
"454",454,3,"Stroop","2.4337",1,"0"
"455",455,3,"Stroop","1.2341",1,"1"
"456",456,3,"Stroop","1.2474",1,"1"
"457",457,3,"Stroop","1.3784",1,"0"
"458",458,3,"Stroop","1.5060",1,"1"
"459",459,3,"Stroop","1.2507",1,"0"
"460",460,3,"Stroop","1.4003",1,"0"
"461",461,3,"Stroop","1.6385",1,"0"
"462",462,3,"Stroop","2.8937",1,"0"
"463",463,3,"Stroop","2.0341",1,"0"
"464",464,3,"Stroop","1.1666",1,"0"
"465",465,3,"Stroop","8.1667",0,"0"
"466",466,3,"Stroop","2.0837",1,"0"
"467",467,3,"Stroop","1.3330",1,"1"
"468",468,3,"Stroop","1.3674",1,"0"
"469",469,3,"Stroop","0.9842",1,"0"
"470",470,3,"Stroop","1.3148",1,"0"
"471",471,3,"Stroop","1.2831",0,"0"
"472",472,3,"Stroop","2.8561",1,"1"
"473",473,3,"Stroop","1.5000",1,"0"
"474",474,3,"Stroop","1.6391",1,"0"
"475",475,3,"Stroop","1.6331",1,"0"
"476",476,3,"Stroop","1.5576",1,"0"
"477",477,3,"Stroop","1.3672",1,"0"
"478",478,3,"Stroop","1.1667",1,"1"
"479",479,3,"Stroop","1.5500",1,"1"
"480",480,3,"Stroop","2.0672",1,"0"
"481",481,3,"Stroop","1.9456",1,"0"
"482",482,3,"Stroop","1.3825",1,"0"
"483",483,3,"Stroop","2.3497",1,"1"
"484",484,3,"Stroop","1.2495",0,"0"
"485",485,3,"Stroop","2.6378",1,"1"
"486",486,3,"Stroop","3.3999",1,"0"
"487",487,3,"Stroop","1.1184",1,"1"
"488",488,3,"Stroop","1.3326",1,"0"
"489",489,3,"Stroop","1.4500",1,"0"
"490",490,3,"Stroop","1.7333",1,"0"
"491",491,3,"Stroop","1.5841",1,"1"
"492",492,3,"Stroop","1.5668",1,"0"
"493",493,3,"Stroop","1.2506",0,"0"
"494",494,3,"Stroop","0.7499",1,"0"
"495",495,3,"Stroop","1.8711",1,"0"
"496",496,3,"Stroop","2.4425",1,"0"
"497",497,3,"Stroop","6.4921",1,"1"
"498",498,3,"Stroop","2.9332",1,"0"
"499",499,3,"Stroop","1.7842",1,"0"
"500",500,3,"Stroop","2.4034",1,"1"
"501",501,3,"Stroop","2.1343",1,"0"
"502",502,3,"Stroop","2.0791",1,"0"
"503",503,3,"Stroop","2.4330",1,"0"
"504",504,3,"Stroop","1.3875",1,"0"
